类型,题干,A,B,C,D,正确答案,解析,来源,出现次数,首次记录
单选题,“要增强自护意识，不随意约会网友”，这说明( ),在网上不能交朋友,在网络中要不断提高自己的辨别觉察能力,网络没有任何安全保障,网络不讲诚信,B,,接口直采,1,2026/9/18 12:50:42
单选题,《电离辐射防护与辐射源安全基本标准》（GB 18871-2002）中，电离辐射警告标志的中文语句是：（）,当心射线,当心电离辐射,小心射线,小心电离辐射,B,,接口直采,1,2026/9/18 12:50:16
单选题,《放射性同位素与射线装置安全和防护条例》第三条规定，（）对全国放射性同位素、射线装置的安全和防护工作实施统一监督管理。,国务院环境保护主管部门,国务院公安主管部门,国务院卫生主管部门,各级人民政府,A,,接口直采,1,2026/9/18 12:50:16
单选题,《放射性同位素与射线装置安全和防护条例》中的放射源是指：（）,能发射射线的所有物质,除研究堆和动力堆核燃料循环范畴的材料以外，永久密封在容器中或者严密包层并呈固态的放射性材料,非密封在包壳里或者紧密地固结在覆盖层里的放射性物质,未密封的放射性物质，当简单封装后就是密封放射源,B,,接口直采,1,2026/9/18 12:50:16
单选题,《放射性同位素与射线装置安全和防护条例》中的非密封放射性物质是指：（）,能发射射线的所有物质,除研究堆和动力堆核燃料循环范畴的材料以外，永久密封在容器中或者严密包层并呈现固态的放射性材料,非永久密封在包壳里或者紧密地固结在覆盖层里的放射性物质,未密封的放射性物质，当简单封装后就是密封放射源,C,,接口直采,1,2026/9/18 12:50:16
单选题,《危险化学品安全管理条例》适用于：（）,民用爆炸品,放射性物品及核能物质,剧毒化学品,城镇燃气,C,,接口直采,1,2026/9/18 12:50:25
单选题,《消防法》的立法宗旨是为了预防火灾和减少火灾危害，加强应急救援工作，保护（）安全，维护公共安全。,生命,财产,人身、财产,公民人身,D,,接口直采,1,2026/9/18 12:50:32
单选题,1896年，法国科学家发现天然放射现象，通常人们把这一重大发现看成是核物理的开端，并以他的名字作为放射性活度单位，此科学家是（）。,卢瑟福,贝可勒尔,汤姆逊,居里夫人,B,,接口直采,1,2026/9/18 12:50:16
单选题,1931年，日本富山县出现一种“痛痛病”，经分析，是由于当地水源被何种元素污染？,Cd,F,Al,Bi,A,,接口直采,1,2026/9/18 12:50:25
单选题,1965年，Wedum AG研究发现，实验室感染中65％以上是由（）引起的。,粉尘,飞沫,病原菌培养污染,微生物气溶胶,D,,接口直采,1,2026/9/18 12:50:35
单选题,1974年，美国职业安全与健康局（OSHA）颁布了（），首次提出了4级病原微生物危害和4级实验室活动的概念，这些概念成为后来实验室生物安全的核心内容和理论基础。,《病原微生物分类》,《基于危害程度的病原微生物分类》,《实验室病原微生物分类》,《微生物学和生物医学实验室的生物安全》,B,,接口直采,1,2026/9/18 12:50:35
单选题,1976年，美国国家卫生基金会颁布世界上第一个（ ）标准，2002年美国国家标准院批准了该标准，该标准已经成为此设备的国际标准。,通风橱,超净台,灭菌器,生物安全柜,D,,接口直采,1,2026/9/18 12:50:35
